Date,Return,Year,Month,Day,Business_Month_End,DX_to_Prev,DX_to_Curr,DX_Class,Non_Focus_Returns,Focus_Returns,Log_Cum_All_Returns,Log_Cum_Focus_Returns,Log_Cum_Non_Focus_Returns
19900426.0,-0.0042003420908593,1990,4,26,0,-19,2,2,-0.0042003420908593,0.0,-0.0439474394664932,-0.0059611882700468,-0.0379862511964463
19900427.0,0.0002575063704986,1990,4,27,0,-20,1,1,0.0002575063704986,0.0,-0.043835620267191,-0.0059611882700468,-0.0378744319971441
19900430.0,0.0011213072413626,1990,4,30,1,-21,0,0,0.0,0.0011213072413626,-0.0433489155415485,-0.0054744835444043,-0.0378744319971441
19900501.0,-0.0029160464948897,1990,5,1,0,-1,22,-1,0.0,-0.0029160464948897,-0.044617188514756,-0.0067427565176117,-0.0378744319971441
19900502.0,-0.001045811198391,1990,5,2,0,-2,21,-2,0.0,-0.001045811198391,-0.0450716162115567,-0.0071971842144124,-0.0378744319971441
19900503.0,0.0029983666199004,1990,5,3,0,-3,20,-3,0.0029983666199004,0.0,-0.0437713904379398,-0.0071971842144124,-0.0365742062235272
19900504.0,0.0127809255336893,1990,5,4,0,-4,19,-4,0.0127809255336893,0.0,-0.0382558770828593,-0.0071971842144124,-0.0310586928684467
19900507.0,-0.0023102332237242,1990,5,7,0,-5,18,-5,-0.0023102332237242,0.0,-0.0392603593652782,-0.0071971842144124,-0.0320631751508656
19900508.0,0.0016733250171745,1990,5,8,0,-6,17,-6,0.0016733250171745,0.0,-0.0385342508823488,-0.0071971842144124,-0.0313370666679361
19900509.0,-0.0030174877197255,1990,5,9,0,-7,16,-7,-0.0030174877197255,0.0,-0.0398467103106996,-0.0071971842144124,-0.0326495260962869
19900510.0,0.003672902405489,1990,5,10,0,-8,15,-8,0.003672902405489,0.0,-0.0382545112726192,-0.0071971842144124,-0.0310573270582066
19900511.0,0.0116072675302561,1990,5,11,0,-9,14,-8,0.0116072675302561,0.0,-0.0332425705558177,-0.0071971842144124,-0.0260453863414051
19900514.0,0.0016501637718612,1990,5,14,0,-10,13,-8,0.0016501637718612,0.0,-0.0325265041864963,-0.0071971842144124,-0.0253293199720836
19900515.0,-0.002973091128217,1990,5,15,0,-11,12,-8,-0.002973091128217,0.0,-0.0338196244938719,-0.0071971842144124,-0.0266224402794592
19900516.0,-0.0022793190819222,1990,5,16,0,-12,11,8,-0.0022793190819222,0.0,-0.0348106500549291,-0.0071971842144124,-0.0276134658405164
19900517.0,-0.0010177196600426,1990,5,17,0,-13,10,8,-0.0010177196600426,0.0,-0.035252865151097,-0.0071971842144124,-0.0280556809366843
19900518.0,-0.0042576348268304,1990,5,18,0,-14,9,8,-0.0042576348268304,0.0,-0.0371058799978003,-0.0071971842144124,-0.0299086957833875
19900521.0,0.0003880604829396,1990,5,21,0,-15,8,8,0.0003880604829396,0.0,-0.0369373801633643,-0.0071971842144124,-0.0297401959489515
19900522.0,0.0056117902628771,1990,5,22,0,-16,7,7,0.0056117902628771,0.0,-0.0345070235840207,-0.0071971842144124,-0.0273098393696079
19900523.0,0.0023524035612934,1990,5,23,0,-17,6,6,0.0023524035612934,0.0,-0.0334865874668977,-0.0071971842144124,-0.0262894032524849
19900524.0,-0.0015750983038422,1990,5,24,0,-18,5,5,-0.0015750983038422,0.0,-0.0341711832631984,-0.0071971842144124,-0.0269739990487856
19900525.0,-0.0043817584881486,1990,5,25,0,-19,4,4,-0.0043817584881486,0.0,-0.0360783381999214,-0.0071971842144124,-0.0288811539855087
19900529.0,0.0016516348737328,1990,5,29,0,-21,2,2,0.0016516348737328,0.0,-0.0353616339921819,-0.0071971842144124,-0.0281644497777691
19900530.0,0.0023495137899751,1990,5,30,0,-22,1,1,0.0023495137899751,0.0,-0.0343424499432359,-0.0071971842144124,-0.0271452657288231
19900531.0,0.0010827030812324,1990,5,31,1,-23,0,0,0.0,0.0010827030812324,-0.0338724923359077,-0.0067272266070842,-0.0271452657288231
19900601.0,0.0103142912642913,1990,6,1,0,-1,20,-1,0.0,0.0103142912642913,-0.0294159960493227,-0.0022707303204992,-0.0271452657288231
19900604.0,-0.000315873015873,1990,6,4,0,-2,19,-2,0.0,-0.000315873015873,-0.0295531996276935,-0.0024079338988699,-0.0271452657288231
19900605.0,-0.0022533211199416,1990,6,5,0,-3,18,-3,-0.0022533211199416,0.0,-0.0305329087706954,-0.0024079338988699,-0.028124974871825
19900606.0,0.0003774159469666,1990,6,6,0,-4,17,-4,0.0003774159469666,0.0,-0.0303690300308254,-0.0024079338988699,-0.027961096131955
19900607.0,-0.000315873015873,1990,6,7,0,-5,16,-5,-0.000315873015873,0.0,-0.0305062336091962,-0.0024079338988699,-0.0280982997103258
19900608.0,-0.000315873015873,1990,6,8,0,-6,15,-6,-0.000315873015873,0.0,-0.0306434371875671,-0.0024079338988699,-0.0282355032886967
19900611.0,-0.0017026807845674,1990,6,11,0,-7,14,-7,-0.0017026807845674,0.0,-0.0313835323085726,-0.0024079338988699,-0.0289755984097022
19900612.0,-0.0003170634920634,1990,6,12,0,-8,13,-8,-0.0003170634920634,0.0,-0.0315212530678551,-0.0024079338988699,-0.0291133191689847
19900613.0,0.0050967230382278,1990,6,13,0,-9,12,-8,0.0050967230382278,0.0,-0.0293133960272436,-0.0024079338988699,-0.0269054621283733
19900614.0,0.0009277788730728,1990,6,14,0,-10,11,-8,0.0009277788730728,0.0,-0.0289106535813322,-0.0024079338988699,-0.0265027196824618
19900615.0,-0.0055532432476781,1990,6,15,0,-11,10,8,-0.0055532432476781,0.0,-0.0313291178731857,-0.0024079338988699,-0.0289211839743153
19900618.0,-0.0030859171246901,1990,6,18,0,-12,9,8,-0.0030859171246901,0.0,-0.0326713867841947,-0.0024079338988699,-0.0302634528853243
19900619.0,-0.000873247450988,1990,6,19,0,-13,8,8,-0.000873247450988,0.0,-0.0330507990179988,-0.0024079338988699,-0.0306428651191284
19900620.0,-0.0029601077657071,1990,6,20,0,-14,7,7,-0.0029601077657071,0.0,-0.0343382639454328,-0.0024079338988699,-0.0319303300465624
19900621.0,0.001632840703422,1990,6,21,0,-15,6,6,0.001632840703422,0.0,-0.0336297085598477,-0.0024079338988699,-0.0312217746609773
19900622.0,0.0003765561650372,1990,6,22,0,-16,5,5,0.0003765561650372,0.0,-0.0334662030778123,-0.0024079338988699,-0.031058269178942
19900625.0,-0.0050462621839133,1990,6,25,0,-17,4,4,-0.0050462621839133,0.0,-0.0356633151745798,-0.0024079338988699,-0.0332553812757094
19900626.0,0.0010766050392778,1990,6,26,0,-18,3,3,0.0010766050392778,0.0,-0.0351960030570092,-0.0024079338988699,-0.0327880691581389
19900627.0,0.0023308554579129,1990,6,27,0,-19,2,2,0.0023308554579129,0.0,-0.0341849032999839,-0.0024079338988699,-0.0317769694011136
19900628.0,0.0030214378461459,1990,6,28,0,-20,1,1,0.0030214378461459,0.0,-0.0328746878879524,-0.0024079338988699,-0.0304667539890821
19900629.0,0.0023170377413305,1990,6,29,1,-21,0,0,0.0,0.0023170377413305,-0.0318695751754198,-0.0014028211863372,-0.0304667539890821
